vraag,antwoord
Welke shorttracker won Olympisch goud voor zowel Zuid-Korea als Rusland?, Victor Ahn
Hoe heet de spelonderbreking in ijshockey wanneer de puck vanaf eigen helft direct over de doellijn wordt gespeeld zonder dat iemand hem aanraakt?, Icing
Hoe heten de oude en nieuwe bondscoach Red Flames,Serneels en Gunnarsdottir
Hoe heet de Nederlandse bondscoach van Engeland, Sarina Wiegman
Hoe heet de Italiaanse drievoudige winnares van de Ballon d’Or, Bonmati
Hoe heet de heilige bron in Mekka, Zamzam
Hoe heet een hoofdstuk en een vers in de Koran, Soera en Ayat
Hoe heet de spreuk van de Islam, Sjahada
Wat is het woord voor “waarheid” in het Indisch? Het is een belangrijk concept in de diverse godsdiensten van het land en komt ook voor in het embleem, Sach
Hoe heten eenzame en gemeenzame monniken, heremieten en cenobieten
Welke heilige van Alexandrië is beschermheilige der tandartsen?, Appolonia
Hoe heet de orde van missionarissen die omkwamen in bokseropstand, Scheutisten
Welke Bijbelse of mythische monsterfiguur staat symbool voor chaos?, Behemot
Welke zeemonsterfiguur komt voor in de Bijbel en de politieke filosofie van Hobbes?, Leviathan
Tot welke christelijke gemeenschap in Libanon behoren veel volgelingen van het patriarchaat?, Maronieten
Hoe heet in de katholieke theologie de leer dat brood en wijn werkelijk in het lichaam en bloed van Christus veranderen?, Transsubstantiatie
Hoe heet het katholieke feest dat op 1 januari wordt gevierd acht dagen na Kerstmis?, Besnijdenis van de Heer
Welke Heilige wordt in de kunst wordt de heilige voorgesteld als bisschop met een beer of wolf beide symbool voor het heidendom?, vedastus
Hoe heette de oudste bekende veldslag namelijk tussen de Egyptenaren en de Kanaanieten,De Slag bij Megiddo
Welke Perzische koning werd verslagen in de slag bij Marathon, Darius I
Waar versloegen de Perzen de Spartanen en hun bondgenoten, Slag bij Thermopylae
Waar behaalde Alexander de Grote een beslissende overwinning  tegen Perzië, Gaugamela
Wat was de eerste slag en Romeinse overwinning in de Eerste Punische Oorlog, Slag bij Agrigentum
Bij welke kleine rivier versloeg Julius Caesar de Nerviërs, Slag bij de Sabis
Waar vochten Marcus Antonius en Octavianus een onbesliste strijd uit tegen Marcus Brutus en Cassius, Eerste Slag bij Philippi
Hoe heet de slag waarbij de Romeinen onder Aëtius en de Visigoten onder Theoderik I de Hunnen bekampten, Slag op de Catalaunische Velden
Waar versloeg Clovis Syagrius en annexeerde hij de laatste Romeinse provincies in Gallië, Slag bij Soissons
Waar vochten Friezen tegen Franken, Slag bij Dorestad
In 1066 versloeg Harold II van Engeland zijn tegenstander Harald Hardrada in de strijd voor de Engelse troon, Slag bij Stamford Bridge
Waar versloeg William Wallace de Engelsen, Stirling Bridge
Waar versloegen boogschutters onder Hendrik V van Engeland deFransen onder Karel I van Albret, Azincourt
In welke oostvlaamse gemeente onderwierpen de Bourgondiërs Gent, Slag bij Gavere
Waar werd Richard III van Engeland verslagen door Hendrik Tudor, Slag bij Bosworth
Waar werd een calvinistisch rebellenleger door een 'Spaans' beroepsleger in de pan gehakt en begon de Tachtigjarige Oorlog, Slag bij Oosterweel
In welke badstad versloeg Prins Maurits een Spaans leger, Slag bij Nieuwpoort
Waar versloeg Willem III zijn rivaal Jacobus II van Engeland, Battle of the Boyne
Waar vonden de openingsveldslagen van de Amerikaanse Onafhankelijkheidsoorlog plaats, Slagen van Lexington en Concord
Waar in België versloegen De Fransen een gecombineerde Oostenrijks-Nederlands-Engelse legermacht, Slag bij Fleurus
Wat was de grootste veldslag tussen de Grande Armée van Napoleon en de Russen onder generaal Koetoezov, Slag bij Borodino
Welke slag die we kennen als de volkerenslag leverde Napoleon een grote nederlaag op in Duitsland, Leipzig
Waar versloeg Generaal Santa Anna  de Texanen en vond David Crockett de dood, Alamo
Wat is het motto van de Verenigde Staten die de eenheid van de staten uitdrukt, E pluribus unum
Welke leuze van de Verenigde Staten staat op de dollarbiljetten, In God we trust
Wat is het Koninklijk motto van het Verenigd Koninkrijk (sinds Richard Leeuwenhart), Dieu et mon droit
Wat is het devies van de Orde van de Kousenband (Britse ridderorde), Honi soit qui mal y pense
Wat is het motto van de Amerikaanse Mariniers, Semper fidelis 
Wat is het motto van  van de Amerikaanse kustwacht, Semper paratus
Wat is de nationale leuze van Canada, A mari usque ad mare
Wat is de Duitse nationale leuze en begin van het volkslied, Einigkeit und Recht und Freiheit
Wat is de  Revolutionaire leuze uit Cuba, Patria o muerte
Wat was het Motto van de Oostenrijks-Hongaarse monarchie, Indivisibiliter ac inseparabiliter
Welk militair devies halen we bij Vergilius, Audaces fortuna iuvat
Welk motto haalde  de Pruisisce orde bij Cicero, Suum cuique
Welk klassiek motto gebruikte Bart De Wever bij zijn verkiezingsoverwinning, Ad astra per aspera
Wie is de auteur van de beroemde strip Fritz the Cat?, Robert Crumb
Wat is de nieuwe vernederlandste naam van Assurancetourix?, Kakafonix
Wie tekende de strips van Natasja en Rubine,François Walthéry
Welke scenarioschrijvers werkten samen met Walthéry?, Mythic en Dragan de Lazare
Welke Italiaanse striptekenaar staat bekend om zijn erotisch werk, Milo Manara
Wie is de auteur van Jugurtha Jeremiah en De torens van Schemerwoude,Hermann
Welke stripreeks van Christin en Mézières geldt als klassieker in de sciencefiction?,Ravian Valérian
Hoe heet de stripreeks van François Schuiten en Benoît Peeters over imaginaire art-deco steden?,De duistere steden
Welke Amerikaanse bijnaam verwijst naar een lid van een beruchte bende en werd later een stripfiguur?,Bulger
Wie won de prijs voor beste roman van de Académie Française in 2025 met Passagères de nuit, Yanick Lahens
Wie won de prix Goncourt in 2025 met La Maison vide, Laurent Mauvignier
Wie won de prix Femina in 2025 met haar verhalen over femicide in Martinique, Natascha Appanah
Hoe noemen we een technocratie met een machtig staatsapparaat, corporatisme
Hoe heet een marktsituatie met weinig aanbieders, oligopolie
Welke vlaamse wetenschapper is gespecialiseerd in onderhandelingstechnieken, dirk van poucke
Welke theorie vervangt die van de onzichtbare hand in het model van Kahneman, prospect theory
Welke Engelse term beschrijft een economie die regeneratief is en houdbaar, cradle to cradle
Hoe heet de fraude waarbij je opgebeld wordt door bots om je te verleiden terug te bellen, Wangiri 
Hoe heet een goed met een omgekeerde prijs-vraag-wet, Giffen-goed
Hoe heet een luxegoed waar een hogere prijs het item aanlokkelijker maakt, Veblen-goed 
Welke wet beschrijft dat het percentage dat naar voeding gaat daalt naarmate men rijker is, wet van Engel
Welke theorie beweert dat de armen mee profiteren van de rijken doordat die hun geld investeren, trickle down theorie
Hoe heet de lijn op 100 km hoogte die bepaalt of het nog luchtvaart is of al ruimtevaart, kármánlijn
Welke Oekraïense pionier leverde helikopters aan de VS, Sikorsky
Hoe heet de schaal met UFO waarnemingen waaronder close encounters of the thrid kind, schaal van Hynek
Welke maanlanding met een Falcon SpaceX werd uitgevoerd door Firefly Aerospace, Blue Ghost
Welke maanlanding met een Falcon SpaceX werd uitgevoerd door Intuitive Machines, Athena
Hoe heetten de Russische hondjes die in 1951 een ruimtevlucht maakten, Tsygan en Dezik
Hoe heette de aap die in 1949 een ruimtevlucht maakte, Albert
Wie is de voorzitster van het IOC?, Kirsty Coventry 
Hoe heet de voorzitter van de Vlaamse atletiekfederatie en de hoofdcoach?, Gery Follens en Rutger Smith
Hoe heet de voorzitster van de Waalse atletiekfederatie?, Jessica Mayon
Welke speelster leidt het conflict tegen de WNBA en wie is daar de voorzitster van?, Napheesa Collier vs Cathy Engelbert
Welke ex-baas van Red Bull is getrouwd met Geri Haliwell?, Horner
Welke ex-ruiter pleegde zelfmoord doordat hij de dood van enkele van zijn paarden niet kon verwerken?, Eric Wauters
Eric Wauters werd driemaal Belgisch kampioen en behaalde samen met Edgard-Henri Cuepper, François Mathy en Stanny Van Paesschen een bronzen medaille op de jumping per ploeg op de Olympische 
Welke Amerikaanse schaker pleede zelfmoord na door Kramnik beschuldig te zijn van valsspelen?, Daniel Naroditsky
